constituency_name,region_name,country_name,constituency_type,2017_con,2017_lab,2017_ld,2017_ukip,2017_green,2017_snp,2017_pc,2017_dup,2017_sf,2017_sdlp,2017_uup,2017_alliance,2017_other,2019_con,2019_lab,2019_ld,2019_brexit,2019_green,2019_snp,2019_pc,2019_dup,2019_sf,2019_sdlp,2019_uup,2019_alliance,2019_other
New Forest East,South East,England,County,0.626,0.198,0.152,0,0.024,0,0,0,0,0,0,0,0,0.645,0.148,0.146,0,0.048,0,0,0,0,0,0,0,0.013
New Forest West,South East,England,County,0.668,0.196,0.096,0,0.029,0,0,0,0,0,0,0,0.01,0.638,0.131,0.153,0,0.077,0,0,0,0,0,0,0,0
Newport East,Wales,Wales,County,0.348,0.565,0.026,0.032,0,0,0.024,0,0,0,0,0,0.005,0.39,0.444,0.058,0.068,0.016,0,0.024,0,0,0,0,0,0
Newport West,Wales,Wales,County,0.393,0.523,0.022,0.025,0.011,0,0.025,0,0,0,0,0,0,0.416,0.437,0.059,0.04,0.021,0,0.027,0,0,0,0,0,0
Newry and Armagh,Northern Ireland,Northern Ireland,County,0,0,0,0,0,0,0,0.246,0.479,0.169,0.083,0.023,0,0,0,0,0,0,0,0,0.217,0.4,0.186,0.083,0.083,0.032
Newton Abbot,South West,England,County,0.555,0.222,0.205,0,0.018,0,0,0,0,0,0,0,0,0.555,0.178,0.222,0,0.029,0,0,0,0,0,0,0,0.016
Normanton_ Pontefract and Castleford,Yorkshire and The Humber,England,County,0.3,0.595,0.014,0.062,0,0,0,0,0,0,0,0,0.029,0.353,0.379,0.065,0.166,0,0,0,0,0,0,0,0,0.037
Northampton North,East Midlands,England,Borough,0.472,0.452,0.025,0.035,0.016,0,0,0,0,0,0,0,0,0.532,0.393,0.051,0,0.024,0,0,0,0,0,0,0,0
Northampton South,East Midlands,England,Borough,0.469,0.44,0.034,0.04,0.017,0,0,0,0,0,0,0,0,0.512,0.397,0.061,0,0.03,0,0,0,0,0,0,0,0
North Antrim,Northern Ireland,Northern Ireland,County,0,0,0,0,0,0,0,0.589,0.163,0.053,0.072,0.056,0.068,0,0,0,0,0,0,0,0.474,0.128,0.067,0.185,0.141,0.006
North Ayrshire and Arran,Scotland,Scotland,County,0.312,0.275,0.024,0,0,0.389,0,0,0,0,0,0,0,0.308,0.139,0.044,0,0.023,0.485,0,0,0,0,0,0,0
North Cornwall,South West,England,County,0.507,0.121,0.366,0,0,0,0,0,0,0,0,0,0.006,0.594,0.087,0.308,0,0,0,0,0,0,0,0,0,0.011
North Devon,South West,England,County,0.458,0.127,0.38,0.021,0.014,0,0,0,0,0,0,0,0,0.566,0.092,0.3,0,0.032,0,0,0,0,0,0,0,0.01
North Dorset,South West,England,County,0.649,0.186,0.136,0,0.029,0,0,0,0,0,0,0,0,0.636,0.12,0.203,0,0.04,0,0,0,0,0,0,0,0
North Down,Northern Ireland,Northern Ireland,County,0.024,0,0,0,0.065,0,0,0.381,0.014,0.01,0,0.093,0.413,0.048,0,0,0,0,0,0,0.379,0,0,0.121,0.452,0
North Durham,North East,England,County,0.3,0.599,0.046,0.056,0,0,0,0,0,0,0,0,0,0.329,0.442,0.068,0.111,0.027,0,0,0,0,0,0,0,0.023
North East Bedfordshire,East,England,County,0.609,0.285,0.058,0.03,0.019,0,0,0,0,0,0,0,0,0.591,0.218,0.123,0,0.029,0,0,0,0,0,0,0,0.039
North East Cambridgeshire,East,England,County,0.644,0.245,0.045,0.041,0.019,0,0,0,0,0,0,0,0.005,0.725,0.159,0.081,0,0.034,0,0,0,0,0,0,0,0
North East Derbyshire,East Midlands,England,County,0.492,0.435,0.028,0.031,0.014,0,0,0,0,0,0,0,0,0.587,0.326,0.061,0,0.026,0,0,0,0,0,0,0,0
North East Fife,Scotland,Scotland,County,0.241,0.096,0.329,0,0,0.329,0,0,0,0,0,0,0.005,0.13,0.037,0.431,0,0,0.402,0,0,0,0,0,0,0
North East Hampshire,South East,England,County,0.655,0.173,0.121,0.018,0.026,0,0,0,0,0,0,0,0.006,0.595,0.097,0.254,0,0.03,0,0,0,0,0,0,0,0.024
North East Hertfordshire,East,England,County,0.586,0.283,0.077,0,0.053,0,0,0,0,0,0,0,0,0.566,0.237,0.155,0,0.043,0,0,0,0,0,0,0,0
North East Somerset,South West,England,County,0.536,0.347,0.083,0,0.023,0,0,0,0,0,0,0,0.011,0.504,0.242,0.221,0,0.025,0,0,0,0,0,0,0,0.008
North Herefordshire,West Midlands,England,County,0.62,0.189,0.117,0,0.055,0,0,0,0,0,0,0,0.019,0.63,0.133,0.143,0,0.093,0,0,0,0,0,0,0,0
North Norfolk,East,England,County,0.417,0.099,0.484,0,0,0,0,0,0,0,0,0,0,0.586,0.077,0.303,0.034,0,0,0,0,0,0,0,0,0
North Shropshire,West Midlands,England,County,0.605,0.311,0.053,0,0.031,0,0,0,0,0,0,0,0,0.627,0.221,0.1,0,0.032,0,0,0,0,0,0,0,0.02
North Somerset,South West,England,County,0.542,0.266,0.096,0,0.032,0,0,0,0,0,0,0,0.063,0.529,0.246,0.178,0,0.047,0,0,0,0,0,0,0,0
North Swindon,South West,England,County,0.536,0.384,0.036,0.028,0.016,0,0,0,0,0,0,0,0,0.591,0.298,0.08,0,0.031,0,0,0,0,0,0,0,0
North Thanet,South East,England,County,0.562,0.34,0.033,0.045,0.017,0,0,0,0,0,0,0,0.003,0.624,0.267,0.071,0,0.037,0,0,0,0,0,0,0,0
North Tyneside,North East,England,Borough,0.273,0.645,0.029,0.04,0.013,0,0,0,0,0,0,0,0,0.307,0.497,0.064,0.104,0.028,0,0,0,0,0,0,0,0
North Warwickshire,West Midlands,England,County,0.569,0.389,0.022,0,0.02,0,0,0,0,0,0,0,0,0.659,0.268,0.045,0,0.028,0,0,0,0,0,0,0,0
North West Cambridgeshire,East,England,County,0.586,0.305,0.05,0.039,0.02,0,0,0,0,0,0,0,0,0.625,0.222,0.107,0,0.047,0,0,0,0,0,0,0,0
North West Durham,North East,England,County,0.345,0.528,0.071,0.045,0.011,0,0,0,0,0,0,0,0,0.419,0.395,0.059,0.067,0.025,0,0,0,0,0,0,0,0.034
North West Hampshire,South East,England,County,0.621,0.235,0.097,0.025,0.023,0,0,0,0,0,0,0,0,0.621,0.158,0.175,0,0.046,0,0,0,0,0,0,0,0
North West Leicestershire,East Midlands,England,County,0.582,0.334,0.064,0,0.021,0,0,0,0,0,0,0,0,0.628,0.249,0.067,0,0.046,0,0,0,0,0,0,0,0.009
North West Norfolk,East,England,County,0.602,0.32,0.029,0.032,0.017,0,0,0,0,0,0,0,0,0.657,0.23,0.078,0,0.035,0,0,0,0,0,0,0,0
North Wiltshire,South West,England,County,0.603,0.175,0.177,0.016,0.021,0,0,0,0,0,0,0,0.007,0.591,0.104,0.269,0,0.035,0,0,0,0,0,0,0,0
Norwich North,East,England,Borough,0.477,0.466,0.032,0,0.017,0,0,0,0,0,0,0,0.007,0.505,0.403,0.058,0,0.023,0,0,0,0,0,0,0,0.011
Norwich South,East,England,Borough,0.306,0.61,0.055,0,0.029,0,0,0,0,0,0,0,0,0.29,0.537,0.092,0.032,0.048,0,0,0,0,0,0,0,0
Nottingham East,East Midlands,England,Borough,0.216,0.715,0.026,0.021,0.018,0,0,0,0,0,0,0,0.005,0.209,0.643,0.049,0.034,0.03,0,0,0,0,0,0,0,0.036
Nottingham North,East Midlands,England,Borough,0.311,0.602,0.018,0.056,0.014,0,0,0,0,0,0,0,0,0.364,0.491,0.045,0.076,0.025,0,0,0,0,0,0,0,0
Nottingham South,East Midlands,England,Borough,0.309,0.624,0.032,0.023,0.012,0,0,0,0,0,0,0,0,0.291,0.552,0.082,0.042,0.033,0,0,0,0,0,0,0,0
Nuneaton,West Midlands,England,County,0.516,0.413,0.02,0.035,0.017,0,0,0,0,0,0,0,0,0.606,0.315,0.041,0,0.037,0,0,0,0,0,0,0,0
Ochil and South Perthshire,Scotland,Scotland,County,0.415,0.2,0.032,0,0,0.353,0,0,0,0,0,0,0,0.387,0.086,0.055,0,0,0.465,0,0,0,0,0,0,0.007
Ogmore,Wales,Wales,County,0.251,0.624,0.016,0.033,0,0,0.075,0,0,0,0,0,0,0.277,0.497,0.041,0.085,0.018,0,0.082,0,0,0,0,0,0
Old Bexley and Sidcup,London,England,Borough,0.615,0.293,0.033,0.034,0.017,0,0,0,0,0,0,0,0.008,0.645,0.235,0.083,0,0.032,0,0,0,0,0,0,0,0.005
Oldham East and Saddleworth,North West,England,County,0.371,0.545,0.036,0.048,0,0,0,0,0,0,0,0,0,0.403,0.435,0.052,0.065,0.017,0,0,0,0,0,0,0,0.028
Oldham West and Royton,North West,England,Borough,0.276,0.652,0.021,0.041,0.01,0,0,0,0,0,0,0,0,0.303,0.553,0.033,0.075,0.015,0,0,0,0,0,0,0,0.021
Orkney and Shetland,Scotland,Scotland,County,0.087,0.114,0.486,0.012,0,0.29,0,0,0,0,0,0,0.011,0.099,0.067,0.448,0.039,0,0.34,0,0,0,0,0,0,0.007
Orpington,London,England,Borough,0.629,0.244,0.066,0.04,0.021,0,0,0,0,0,0,0,0,0.634,0.175,0.155,0,0.037,0,0,0,0,0,0,0,0
Oxford East,South East,England,Borough,0.22,0.652,0.091,0,0.033,0,0,0,0,0,0,0,0.005,0.209,0.57,0.139,0.023,0.048,0,0,0,0,0,0,0,0.01
Oxford West and Abingdon,South East,England,County,0.424,0.126,0.437,0.013,0,0,0,0,0,0,0,0,0,0.381,0.072,0.533,0.014,0,0,0,0,0,0,0,0,0
Paisley and Renfrewshire North,Scotland,Scotland,County,0.275,0.318,0.032,0,0,0.374,0,0,0,0,0,0,0,0.226,0.23,0.074,0,0,0.47,0,0,0,0,0,0,0
Paisley and Renfrewshire South,Scotland,Scotland,County,0.195,0.346,0.032,0,0,0.407,0,0,0,0,0,0,0.021,0.176,0.254,0.068,0,0,0.502,0,0,0,0,0,0,0
Pendle,North West,England,Borough,0.49,0.462,0.021,0,0.011,0,0,0,0,0,0,0,0.016,0.542,0.402,0.035,0,0.015,0,0,0,0,0,0,0,0.006
Penistone and Stocksbridge,Yorkshire and The Humber,England,County,0.432,0.458,0.041,0.069,0,0,0,0,0,0,0,0,0,0.478,0.333,0.102,0.087,0,0,0,0,0,0,0,0,0
Penrith and The Border,North West,England,County,0.604,0.262,0.078,0.025,0.022,0,0,0,0,0,0,0,0.009,0.604,0.217,0.112,0,0.045,0,0,0,0,0,0,0,0.022
Perth and North Perthshire,Scotland,Scotland,County,0.423,0.104,0.05,0,0,0.423,0,0,0,0,0,0,0,0.366,0.046,0.07,0.012,0,0.506,0,0,0,0,0,0,0
Peterborough,East,England,Borough,0.468,0.481,0.033,0,0.018,0,0,0,0,0,0,0,0,0.467,0.413,0.049,0.044,0.015,0,0,0,0,0,0,0,0.011
Plymouth_ Moor View,South West,England,Borough,0.519,0.408,0.02,0.041,0.012,0,0,0,0,0,0,0,0,0.607,0.315,0.052,0,0.027,0,0,0,0,0,0,0,0
Plymouth_ Sutton and Devonport,South West,England,Borough,0.4,0.533,0.024,0.027,0.012,0,0,0,0,0,0,0,0.005,0.389,0.479,0.048,0.055,0.029,0,0,0,0,0,0,0,0
Pontypridd,Wales,Wales,County,0.267,0.554,0.049,0.027,0,0,0.103,0,0,0,0,0,0,0.294,0.445,0,0.075,0,0,0.128,0,0,0,0,0,0.058
Poole,South West,England,Borough,0.579,0.294,0.089,0,0.026,0,0,0,0,0,0,0,0.011,0.587,0.208,0.155,0,0.034,0,0,0,0,0,0,0,0.017
Poplar and Limehouse,London,England,Borough,0.201,0.673,0.067,0.014,0.017,0,0,0,0,0,0,0,0.027,0.159,0.631,0.144,0.024,0.035,0,0,0,0,0,0,0,0.006
Portsmouth North,South East,England,Borough,0.548,0.337,0.055,0.041,0.017,0,0,0,0,0,0,0,0.003,0.614,0.27,0.074,0,0.028,0,0,0,0,0,0,0,0.014
Portsmouth South,South East,England,Borough,0.376,0.41,0.173,0.025,0.016,0,0,0,0,0,0,0,0,0.373,0.486,0.114,0.021,0,0,0,0,0,0,0,0,0.005
Preseli Pembrokeshire,Wales,Wales,County,0.434,0.426,0.026,0.02,0,0,0.064,0,0,0,0,0,0.029,0.504,0.385,0.046,0,0,0,0.065,0,0,0,0,0,0
Preston,North West,England,Borough,0.238,0.68,0.034,0.038,0.01,0,0,0,0,0,0,0,0,0.258,0.618,0.051,0.053,0.02,0,0,0,0,0,0,0,0
Pudsey,Yorkshire and The Humber,England,Borough,0.474,0.467,0.033,0,0,0,0,0,0,0,0,0,0.026,0.488,0.423,0.057,0,0.016,0,0,0,0,0,0,0,0.016
Putney,London,England,Borough,0.441,0.408,0.116,0.01,0.024,0,0,0,0,0,0,0,0.001,0.357,0.451,0.169,0,0.022,0,0,0,0,0,0,0,0
Rayleigh and Wickford,East,England,County,0.667,0.243,0.028,0.042,0.019,0,0,0,0,0,0,0,0,0.726,0.161,0.076,0,0.036,0,0,0,0,0,0,0,0
Reading East,South East,England,Borough,0.423,0.49,0.061,0,0.02,0,0,0,0,0,0,0,0.006,0.379,0.485,0.09,0.015,0.028,0,0,0,0,0,0,0,0.004
Reading West,South East,England,County,0.489,0.433,0.059,0,0.019,0,0,0,0,0,0,0,0,0.484,0.402,0.089,0,0.025,0,0,0,0,0,0,0,0
Redcar,North East,England,Borough,0.332,0.555,0.067,0.046,0,0,0,0,0,0,0,0,0,0.461,0.374,0.049,0.071,0.012,0,0,0,0,0,0,0,0.032
Redditch,West Midlands,England,County,0.523,0.36,0.026,0.03,0.008,0,0,0,0,0,0,0,0.052,0.633,0.269,0.066,0,0.031,0,0,0,0,0,0,0,0
Reigate,South East,England,Borough,0.574,0.247,0.109,0.029,0.041,0,0,0,0,0,0,0,0,0.539,0.195,0.194,0,0.06,0,0,0,0,0,0,0,0.012
Rhondda,Wales,Wales,County,0.101,0.641,0.008,0.027,0,0,0.223,0,0,0,0,0,0,0.158,0.544,0.021,0.126,0.015,0,0.137,0,0,0,0,0,0
Ribble Valley,North West,England,County,0.578,0.339,0.059,0,0.024,0,0,0,0,0,0,0,0,0.603,0.27,0.086,0,0.031,0,0,0,0,0,0,0,0.01
Richmond Park,London,England,Borough,0.451,0.091,0.451,0.007,0,0,0,0,0,0,0,0,0,0.412,0.052,0.531,0,0,0,0,0,0,0,0,0,0.005
Richmond (Yorks),Yorkshire and The Humber,England,County,0.639,0.234,0.059,0,0.031,0,0,0,0,0,0,0,0.037,0.636,0.164,0.121,0,0.043,0,0,0,0,0,0,0,0.035
Rochdale,North West,England,County,0.284,0.58,0.08,0.033,0,0,0,0,0,0,0,0,0.022,0.312,0.516,0.07,0.082,0.021,0,0,0,0,0,0,0,0
Rochester and Strood,South East,England,County,0.544,0.36,0.022,0.054,0.015,0,0,0,0,0,0,0,0.005,0.6,0.271,0.072,0,0.025,0,0,0,0,0,0,0,0.032
Rochford and Southend East,East,England,County,0.487,0.37,0.027,0.038,0.017,0,0,0,0,0,0,0,0.062,0.587,0.32,0.061,0,0,0,0,0,0,0,0,0,0.032
Romford,London,England,Borough,0.594,0.318,0.024,0.047,0.016,0,0,0,0,0,0,0,0,0.646,0.267,0.057,0,0.03,0,0,0,0,0,0,0,0
Romsey and Southampton North,South East,England,County,0.572,0.192,0.212,0,0.019,0,0,0,0,0,0,0,0.005,0.542,0.115,0.331,0,0,0,0,0,0,0,0,0,0.012
Rossendale and Darwen,North West,England,Borough,0.508,0.444,0.031,0,0.016,0,0,0,0,0,0,0,0,0.565,0.37,0.041,0,0.024,0,0,0,0,0,0,0,0
Ross_ Skye and Lochaber,Scotland,Scotland,County,0.249,0.122,0.209,0,0,0.403,0,0,0,0,0,0,0.018,0.173,0.061,0.246,0.018,0,0.483,0,0,0,0,0,0,0.018
Rotherham,Yorkshire and The Humber,England,Borough,0.264,0.564,0.046,0.087,0,0,0,0,0,0,0,0,0.038,0.326,0.413,0.059,0.172,0,0,0,0,0,0,0,0,0.03
Rother Valley,Yorkshire and The Humber,England,County,0.403,0.481,0.023,0.075,0.018,0,0,0,0,0,0,0,0,0.451,0.321,0.052,0.129,0.025,0,0,0,0,0,0,0,0.021
Rugby,West Midlands,England,County,0.543,0.383,0.056,0,0.019,0,0,0,0,0,0,0,0,0.576,0.311,0.083,0,0.03,0,0,0,0,0,0,0,0
Ruislip_ Northwood and Pinner,London,England,Borough,0.572,0.31,0.071,0.022,0.024,0,0,0,0,0,0,0,0,0.556,0.246,0.151,0,0.031,0,0,0,0,0,0,0,0.017
Runnymede and Weybridge,South East,England,County,0.609,0.259,0.073,0.032,0.026,0,0,0,0,0,0,0,0,0.549,0.206,0.173,0,0.035,0,0,0,0,0,0,0,0.036
Rushcliffe,East Midlands,England,County,0.518,0.381,0.047,0.026,0.028,0,0,0,0,0,0,0,0,0.475,0.349,0.159,0,0,0,0,0,0,0,0,0,0.017
Rutherglen and Hamilton West,Scotland,Scotland,Borough,0.195,0.375,0.042,0.009,0,0.37,0,0,0,0,0,0,0.007,0.15,0.345,0.052,0,0,0.442,0,0,0,0,0,0,0.012
Rutland and Melton,East Midlands,England,County,0.628,0.227,0.082,0.032,0.03,0,0,0,0,0,0,0,0,0.626,0.164,0.137,0,0.049,0,0,0,0,0,0,0,0.024
Saffron Walden,East,England,County,0.618,0.208,0.14,0.034,0,0,0,0,0,0,0,0,0,0.63,0.132,0.192,0,0.047,0,0,0,0,0,0,0,0
Salford and Eccles,North West,England,Borough,0.253,0.655,0.027,0.049,0.017,0,0,0,0,0,0,0,0,0.245,0.568,0.061,0.085,0.041,0,0,0,0,0,0,0,0
Salisbury,South West,England,County,0.581,0.255,0.112,0.022,0.022,0,0,0,0,0,0,0,0.008,0.564,0.18,0.196,0,0.046,0,0,0,0,0,0,0,0.014
Scarborough and Whitby,Yorkshire and The Humber,England,County,0.484,0.416,0.027,0.033,0.018,0,0,0,0,0,0,0,0.022,0.555,0.348,0.061,0,0,0,0,0,0,0,0,0,0.036
Scunthorpe,Yorkshire and The Humber,England,County,0.435,0.52,0.014,0.031,0,0,0,0,0,0,0,0,0,0.538,0.367,0.023,0.054,0.018,0,0,0,0,0,0,0,0
Sedgefield,North East,England,County,0.388,0.534,0.019,0.042,0.016,0,0,0,0,0,0,0,0,0.472,0.363,0.047,0.085,0.024,0,0,0,0,0,0,0,0.009
Sefton Central,North West,England,County,0.33,0.63,0.027,0,0.013,0,0,0,0,0,0,0,0,0.278,0.575,0.067,0.048,0.025,0,0,0,0,0,0,0,0.008
Selby and Ainsty,Yorkshire and The Humber,England,County,0.587,0.341,0.041,0.031,0,0,0,0,0,0,0,0,0,0.603,0.246,0.086,0,0.032,0,0,0,0,0,0,0,0.034
Sevenoaks,South East,England,County,0.637,0.209,0.084,0.037,0.033,0,0,0,0,0,0,0,0,0.607,0.136,0.198,0,0.039,0,0,0,0,0,0,0,0.019
Sheffield_ Brightside and Hillsborough,Yorkshire and The Humber,England,Borough,0.216,0.673,0.025,0.063,0.018,0,0,0,0,0,0,0,0.004,0.255,0.565,0.038,0.097,0.03,0,0,0,0,0,0,0,0.015
Sheffield Central,Yorkshire and The Humber,England,Borough,0.13,0.709,0.051,0.022,0.08,0,0,0,0,0,0,0,0.007,0.131,0.667,0.064,0.039,0.09,0,0,0,0,0,0,0,0.009
Sheffield_ Hallam,Yorkshire and The Humber,England,County,0.238,0.384,0.346,0.016,0.014,0,0,0,0,0,0,0,0.001,0.258,0.346,0.334,0.027,0.029,0,0,0,0,0,0,0,0.005
Sheffield_ Heeley,Yorkshire and The Humber,England,Borough,0.287,0.6,0.046,0.045,0.021,0,0,0,0,0,0,0,0.001,0.303,0.503,0.068,0.083,0.042,0,0,0,0,0,0,0,0
Sheffield South East,Yorkshire and The Humber,England,Borough,0.315,0.585,0.033,0.065,0,0,0,0,0,0,0,0,0.002,0.359,0.461,0.051,0.107,0,0,0,0,0,0,0,0,0.023
Sherwood,East Midlands,England,County,0.515,0.418,0.021,0.034,0.012,0,0,0,0,0,0,0,0,0.608,0.301,0.055,0,0.023,0,0,0,0,0,0,0,0.013
Shipley,Yorkshire and The Humber,England,County,0.513,0.426,0.041,0,0,0,0,0,0,0,0,0,0.019,0.508,0.392,0.059,0,0.024,0,0,0,0,0,0,0,0.016
Shrewsbury and Atcham,West Midlands,England,County,0.5,0.386,0.073,0.023,0.018,0,0,0,0,0,0,0,0,0.525,0.335,0.1,0,0.03,0,0,0,0,0,0,0,0.01
Sittingbourne and Sheppey,South East,England,County,0.602,0.306,0.027,0,0.011,0,0,0,0,0,0,0,0.055,0.676,0.2,0.063,0,0.023,0,0,0,0,0,0,0,0.039
Skipton and Ripon,Yorkshire and The Humber,England,County,0.627,0.283,0,0,0.064,0,0,0,0,0,0,0,0.026,0.595,0.191,0.148,0,0.047,0,0,0,0,0,0,0,0.019
Sleaford and North Hykeham,East Midlands,England,County,0.642,0.258,0.041,0.03,0.015,0,0,0,0,0,0,0,0.014,0.671,0.182,0.08,0,0.026,0,0,0,0,0,0,0,0.04
Slough,South East,England,Borough,0.316,0.629,0.024,0.023,0,0,0,0,0,0,0,0,0.008,0.309,0.576,0.066,0.028,0.021,0,0,0,0,0,0,0,0
Solihull,West Midlands,England,Borough,0.581,0.219,0.157,0.023,0.02,0,0,0,0,0,0,0,0,0.584,0.199,0.18,0,0.037,0,0,0,0,0,0,0,0
Somerton and Frome,South West,England,County,0.567,0.172,0.209,0,0.037,0,0,0,0,0,0,0,0.016,0.558,0.129,0.262,0,0.051,0,0,0,0,0,0,0,0
Southampton_ Itchen,South East,England,Borough,0.465,0.465,0.03,0.024,0.015,0,0,0,0,0,0,0,0,0.505,0.41,0.053,0,0.022,0,0,0,0,0,0,0,0.01
Southampton_ Test,South East,England,Borough,0.341,0.587,0.04,0,0,0,0,0,0,0,0,0,0.032,0.357,0.495,0.077,0.035,0.032,0,0,0,0,0,0,0,0.005
South Antrim,Northern Ireland,Northern Ireland,County,0,0,0,0,0,0,0,0.382,0.181,0.055,0.308,0.074,0,0,0,0,0,0,0,0,0.353,0.114,0.053,0.29,0.191,0
South Basildon and East Thurrock,East,England,County,0.569,0.325,0.016,0.068,0.014,0,0,0,0,0,0,0,0.008,0.662,0.222,0.043,0,0,0,0,0,0,0,0,0,0.073
South Cambridgeshire,East,England,County,0.518,0.272,0.186,0,0.023,0,0,0,0,0,0,0,0,0.463,0.117,0.42,0,0,0,0,0,0,0,0,0,0
South Derbyshire,East Midlands,England,County,0.587,0.36,0.036,0,0.017,0,0,0,0,0,0,0,0,0.628,0.265,0.074,0,0.033,0,0,0,0,0,0,0,0
South Dorset,South West,England,County,0.561,0.336,0.059,0,0.044,0,0,0,0,0,0,0,0,0.588,0.252,0.106,0,0.044,0,0,0,0,0,0,0,0.009
South Down,Northern Ireland,Northern Ireland,County,0,0,0,0,0,0,0,0.174,0.399,0.351,0.039,0.036,0,0,0,0,0,0,0,0,0.153,0.324,0.292,0.066,0.139,0.025
South East Cambridgeshire,East,England,County,0.533,0.277,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0.163,0.321,0,0,0,0,0,0,0,0,0,0.016
South East Cornwall,South West,England,County,0.554,0.226,0.194,0,0.025,0,0,0,0,0,0,0,0,0.593,0.202,0.161,0,0.028,0,0,0,0,0,0,0,0.016
Southend West,East,England,Borough,0.552,0.34,0.045,0.035,0.018,0,0,0,0,0,0,0,0.01,0.592,0.281,0.114,0,0,0,0,0,0,0,0,0,0.012
